file,total bibls,m-level,j-level,a-level,s-level,u-level
2212-5019_beh_fulltextxml_COM-9000000164.xml,23,21,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000165.xml,34,10,12,12,0,0
2212-5019_beh_fulltextxml_COM-9000000166.xml,87,41,23,23,0,0
2212-5019_beh_fulltextxml_COM-9000000167.xml,32,24,4,4,0,0
2212-5019_beh_fulltextxml_COM-9000000168.xml,28,18,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000171.xml,20,14,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000172.xml,14,8,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000174.xml,27,21,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000175.xml,43,23,10,10,0,0
2212-5019_beh_fulltextxml_COM-9000000176.xml,16,14,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000177.xml,39,35,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000178.xml,4,4,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000179.xml,17,11,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000182.xml,10,6,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000184.xml,8,4,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000185.xml,13,9,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000187.xml,17,15,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000189.xml,16,0,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000190.xml,10,8,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000191.xml,64,38,13,13,0,0
2212-5019_beh_fulltextxml_COM-9000000192.xml,6,6,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000193.xml,22,6,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000194.xml,6,2,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000195.xml,87,45,21,21,0,0
2212-5019_beh_fulltextxml_COM-9000000196.xml,24,20,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000197.xml,12,10,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000198.xml,70,52,9,9,0,0
2212-5019_beh_fulltextxml_COM-9000000199.xml,7,5,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000200.xml,23,21,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000201.xml,18,14,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000202.xml,16,10,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000203.xml,18,16,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000204.xml,23,19,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000205.xml,20,18,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000206.xml,37,25,6,6,0,0
2212-5019_beh_fulltextxml_COM-9000000207.xml,44,28,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000208.xml,16,14,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000209.xml,37,21,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000210.xml,19,19,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000211.xml,0,0,0,0,0,0
2212-5019_beh_fulltextxml_COM-2050240.xml,17,11,3,3,0,0
2212-5019_beh_fulltextxml_COM-2050250.xml,16,10,3,3,0,0
2212-5019_beh_fulltextxml_COM-2050260.xml,49,21,14,14,0,0
2212-5019_beh_fulltextxml_COM-2050270.xml,13,13,0,0,0,0
2212-5019_beh_fulltextxml_COM-2050280.xml,23,17,3,3,0,0
2212-5019_beh_fulltextxml_COM-2050290.xml,31,21,5,5,0,0
2212-5019_beh_fulltextxml_COM-2050300.xml,15,15,0,0,0,0
2212-5019_beh_fulltextxml_COM-2060010.xml,2,2,0,0,0,0
2212-5019_beh_fulltextxml_COM-2060020.xml,60,28,16,16,0,0
2212-5019_beh_fulltextxml_COM-2060030.xml,27,21,3,3,0,0
2212-5019_beh_fulltextxml_COM-2060040.xml,11,11,0,0,0,0
2212-5019_beh_fulltextxml_COM-2060050.xml,46,42,2,2,0,0
2212-5019_beh_fulltextxml_COM-2060060.xml,10,8,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000001.xml,47,27,10,10,0,0
2212-5019_beh_fulltextxml_COM-9000000002.xml,20,14,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000005.xml,61,41,10,10,0,0
2212-5019_beh_fulltextxml_COM-9000000006.xml,24,16,4,4,0,0
2212-5019_beh_fulltextxml_COM-9000000009.xml,90,50,20,20,0,0
2212-5019_beh_fulltextxml_COM-9000000010.xml,72,52,10,10,0,0
2212-5019_beh_fulltextxml_COM-9000000011.xml,57,35,11,11,0,0
2212-5019_beh_fulltextxml_COM-9000000012.xml,72,36,18,18,0,0
2212-5019_beh_fulltextxml_COM-9000000013.xml,29,17,6,6,0,0
2212-5019_beh_fulltextxml_COM-9000000015.xml,20,12,4,4,0,0
2212-5019_beh_fulltextxml_COM-9000000016.xml,25,19,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000017.xml,31,17,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000018.xml,43,23,10,10,0,0
2212-5019_beh_fulltextxml_COM-9000000019.xml,27,23,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000020.xml,24,20,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000021.xml,27,15,6,6,0,0
2212-5019_beh_fulltextxml_COM-9000000022.xml,33,19,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000023.xml,19,17,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000025.xml,60,34,13,13,0,0
2212-5019_beh_fulltextxml_COM-9000000026.xml,26,24,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000027.xml,54,34,10,10,0,0
2212-5019_beh_fulltextxml_COM-9000000028.xml,13,9,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000029.xml,49,25,12,12,0,0
2212-5019_beh_fulltextxml_COM-9000000031.xml,5,5,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000032.xml,12,12,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000033.xml,41,33,4,4,0,0
2212-5019_beh_fulltextxml_COM-9000000034.xml,52,30,11,11,0,0
2212-5019_beh_fulltextxml_COM-9000000035.xml,58,44,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000036.xml,23,15,4,4,0,0
2212-5019_beh_fulltextxml_COM-9000000037.xml,65,39,13,13,0,0
2212-5019_beh_fulltextxml_COM-9000000038.xml,24,14,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000039.xml,49,37,6,6,0,0
2212-5019_beh_fulltextxml_COM-9000000040.xml,11,9,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000041.xml,33,29,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000042.xml,44,32,6,6,0,0
2212-5019_beh_fulltextxml_COM-9000000043.xml,21,17,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000044.xml,42,30,6,6,0,0
2212-5019_beh_fulltextxml_COM-9000000045.xml,17,13,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000046.xml,41,39,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000047.xml,43,29,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000048.xml,15,11,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000049.xml,114,76,19,19,0,0
2212-5019_beh_fulltextxml_COM-9000000050.xml,66,46,10,10,0,0
2212-5019_beh_fulltextxml_COM-9000000051.xml,11,9,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000052.xml,19,9,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000053.xml,100,68,16,16,0,0
2212-5019_beh_fulltextxml_COM-9000000054.xml,56,40,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000055.xml,41,29,6,6,0,0
2212-5019_beh_fulltextxml_COM-9000000056.xml,36,16,10,10,0,0
2212-5019_beh_fulltextxml_COM-9000000057.xml,49,31,9,9,0,0
2212-5019_beh_fulltextxml_COM-9000000058.xml,13,9,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000059.xml,22,10,6,6,0,0
2212-5019_beh_fulltextxml_COM-9000000060.xml,12,8,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000061.xml,24,22,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000062.xml,43,41,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000063.xml,31,25,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000064.xml,19,17,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000065.xml,42,28,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000067.xml,31,21,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000068.xml,53,39,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000069.xml,31,19,6,6,0,0
2212-5019_beh_fulltextxml_COM-9000000070.xml,47,33,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000072.xml,41,31,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000073.xml,23,13,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000074.xml,63,41,11,11,0,0
2212-5019_beh_fulltextxml_COM-9000000075.xml,31,13,9,9,0,0
2212-5019_beh_fulltextxml_COM-9000000076.xml,28,22,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000077.xml,137,49,44,44,0,0
2212-5019_beh_fulltextxml_COM-9000000078.xml,7,7,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000081.xml,62,46,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000086.xml,93,57,18,18,0,0
2212-5019_beh_fulltextxml_COM-9000000087.xml,67,49,9,9,0,0
2212-5019_beh_fulltextxml_COM-9000000088.xml,72,56,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000089.xml,130,90,20,20,0,0
2212-5019_beh_fulltextxml_COM-9000000090.xml,16,12,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000091.xml,53,43,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000093.xml,24,20,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000094.xml,41,37,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000095.xml,24,24,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000097.xml,84,62,11,11,0,0
2212-5019_beh_fulltextxml_COM-9000000098.xml,35,25,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000099.xml,39,23,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000100.xml,20,14,3,3,0,0
2212-5019_beh_fulltextxml_COM-1010060020.xml,24,18,3,3,0,0
2212-5019_beh_fulltextxml_COM-1010060040.xml,18,14,2,2,0,0
2212-5019_beh_fulltextxml_COM-1020010.xml,75,55,10,10,0,0
2212-5019_beh_fulltextxml_COM-1020020.xml,35,17,9,9,0,0
2212-5019_beh_fulltextxml_COM-1020030.xml,24,18,3,3,0,0
2212-5019_beh_fulltextxml_COM-1020040.xml,36,30,3,3,0,0
2212-5019_beh_fulltextxml_COM-103.xml,42,36,3,3,0,0
2212-5019_beh_fulltextxml_COM-1030010.xml,51,31,10,10,0,0
2212-5019_beh_fulltextxml_COM-1030020.xml,10,10,0,0,0,0
2212-5019_beh_fulltextxml_COM-1030030.xml,26,20,3,3,0,0
2212-5019_beh_fulltextxml_COM-1030040.xml,13,7,3,3,0,0
2212-5019_beh_fulltextxml_COM-1030050.xml,23,23,0,0,0,0
