file,total bibls,m-level,j-level,a-level,s-level,u-level
1877-0339_bec_fulltextxml_SIM-00059.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00060.xml,21,1,1,19,0,0
1877-0339_bec_fulltextxml_SIM-00061.xml,7,0,0,7,0,0
1877-0339_bec_fulltextxml_SIM-00062.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00063.xml,4,0,1,3,0,0
1877-0339_bec_fulltextxml_SIM-00064.xml,3,0,1,2,0,0
1877-0339_bec_fulltextxml_SIM-00065.xml,9,0,1,8,0,0
1877-0339_bec_fulltextxml_SIM-00066.xml,1,0,0,1,0,0
1877-0339_bec_fulltextxml_SIM-00067.xml,1,0,0,1,0,0
1877-0339_bec_fulltextxml_SIM-00068.xml,4,0,1,3,0,0
1877-0339_bec_fulltextxml_SIM-00069.xml,15,0,0,15,0,0
1877-0339_bec_fulltextxml_SIM-00070.xml,1,0,0,1,0,0
1877-0339_bec_fulltextxml_SIM-00071.xml,4,0,1,3,0,0
1877-0339_bec_fulltextxml_SIM-00072.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00073.xml,6,1,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00074.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00075.xml,10,0,1,9,0,0
1877-0339_bec_fulltextxml_SIM-00077.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00078.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00079.xml,6,1,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00080.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00081.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00082.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_SIM-00083.xml,16,0,1,15,0,0
1877-0339_bec_fulltextxml_SIM-00084.xml,5,0,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00085.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00086.xml,6,0,2,4,0,0
1877-0339_bec_fulltextxml_SIM-00087.xml,2,1,0,1,0,0
1877-0339_bec_fulltextxml_SIM-00088.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00089.xml,7,0,1,6,0,0
1877-0339_bec_fulltextxml_SIM-00090.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00091.xml,9,0,2,7,0,0
1877-0339_bec_fulltextxml_SIM-00092.xml,7,0,0,7,0,0
1877-0339_bec_fulltextxml_SIM-00093.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00094.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00095.xml,4,2,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00096.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00097.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00098.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00099.xml,1,0,0,1,0,0
1877-0339_bec_fulltextxml_SIM-00100.xml,7,0,0,7,0,0
1877-0339_bec_fulltextxml_SIM-00101.xml,4,0,1,3,0,0
1877-0339_bec_fulltextxml_SIM-00102.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00103.xml,4,0,1,3,0,0
1877-0339_bec_fulltextxml_SIM-00104.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00105.xml,0,0,0,0,0,0
1877-0339_bec_fulltextxml_SIM-00106.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00107.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00108.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00109.xml,20,0,5,15,0,0
1877-0339_bec_fulltextxml_SIM-00110.xml,4,0,1,3,0,0
1877-0339_bec_fulltextxml_SIM-00111.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_SIM-00112.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00113.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00114.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00115.xml,6,0,2,4,0,0
1877-0339_bec_fulltextxml_SIM-00116.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00117.xml,9,0,0,9,0,0
1877-0339_bec_fulltextxml_SIM-00118.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00119.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00120.xml,6,0,1,5,0,0
1877-0339_bec_fulltextxml_SIM-00121.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00122.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_COM-00097.xml,24,1,8,15,0,0
1877-0339_bec_fulltextxml_COM-00098.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_COM-00099.xml,8,1,3,4,0,0
1877-0339_bec_fulltextxml_COM-00100.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_COM-00101.xml,8,0,0,8,0,0
1877-0339_bec_fulltextxml_COM-00102.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_COM-00103.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_COM-00104.xml,8,1,2,5,0,0
1877-0339_bec_fulltextxml_COM-00105.xml,13,0,2,11,0,0
1877-0339_bec_fulltextxml_COM-00106.xml,9,3,0,6,0,0
1877-0339_bec_fulltextxml_COM-00107.xml,20,1,0,19,0,0
1877-0339_bec_fulltextxml_COM-00108.xml,4,0,1,3,0,0
1877-0339_bec_fulltextxml_COM-00109.xml,8,1,0,7,0,0
1877-0339_bec_fulltextxml_COM-00110.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_COM-00111.xml,14,0,1,13,0,0
1877-0339_bec_fulltextxml_COM-00112.xml,21,0,5,16,0,0
1877-0339_bec_fulltextxml_COM-00113.xml,10,0,3,7,0,0
1877-0339_bec_fulltextxml_COM-00114.xml,11,0,2,9,0,0
1877-0339_bec_fulltextxml_COM-00115.xml,16,0,0,16,0,0
1877-0339_bec_fulltextxml_COM-00116.xml,13,0,0,13,0,0
1877-0339_bec_fulltextxml_COM-00117.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_COM-00118.xml,3,0,0,3,0,0
